,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
199,终结者2：审判日,Terminator 2: Judgment Day,终结者2  /  终结者2：末日审判, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,8.5,139321人评价,少见的超越首部的续集，动作片中的经典。
200,荒野生存,Into the Wild,浪荡天涯(港)  /  阿拉斯加之死(台), 西恩·潘 Sean Penn, 埃米尔·赫斯基 Emile Hirsch / 马西娅·...,2007,美国,冒险 传记 剧情,8.6,125683人评价,出门必备：本草纲目。
201,卡萨布兰卡,Casablanca,北非谍影(港)  /  卡萨布兰卡, Michael Curtiz, 亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...,1942,美国,剧情 爱情 战争,8.6,123230人评价,与同名歌曲无关。
202,这个男人来自地球,The Man from Earth,地球不死人(港)  /  这个人来自洞穴, 理查德·沙因克曼 Richard Schenkman, 大卫·李·史密斯 David ...,2007,美国,剧情 科幻,8.5,176770人评价,科幻真正的魅力不是视觉效果能取代的。
203,源代码,Source Code,启动原始码(台)  /  危机解密(港), 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,爱情 科幻 悬疑 惊悚,8.3,403798人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
204,变脸,Face/Off,夺面双雄, 吴宇森 John Woo, 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,1997,美国,动作 科幻 犯罪 惊悚,8.4,211572人评价,当发哥的风衣、墨镜出现在了凯奇身上??
205,新龙门客栈,新龍門客棧,New Dragon Gate Inn, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,香港 中国大陆,剧情 动作 武侠 古装,8.5,180544人评价,嬉笑怒骂，调风动月。
206,黑客帝国3：矩阵革命,The Matrix Revolutions,骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪, Andy Wachowski / Larry Wachowski, Keanu Reeves / Laurence F...,2003,美国 澳大利亚,动作 科幻,8.5,153108人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
207,燕尾蝶,スワロウテイル,Swallowtail Butterfly  /  Suwar?teiru, 岩井俊二 Shunji Iwai, 三上博史 / 恰拉 / 伊藤步,1996,日本,犯罪 剧情,8.6,107062人评价,现实与童话交相辉映的旅程。
208,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Gro?stadt, Charles Chaplin, 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情,9.2,42973人评价,永远的小人物，伟大的卓别林。
209,黄金三镖客,"Il buono, il brutto, il cattivo.",好·坏·丑  /  独行侠决斗地狱门(港), Sergio Leone, Clint Eastwood / Eli Wallach / Lee Van Cleef,1966,意大利 西班牙 西德,冒险 西部,9.1,50628人评价,最棒的西部片。
210,E.T. 外星人,E.T.: The Extra-Terrestrial,外星人E.T.  /  外星人, Steven Spielberg, Henry Thomas / Dee Wallace / Robert MacNa...,1982,美国,剧情 科幻,8.5,150598人评价,生病的E.T.皮肤的颜色就像柿子饼。
211,英国病人,The English Patient,英伦情人(台)  /  别问我是谁(港), 安东尼·明格拉 Anthony Minghella, 拉尔夫·费因斯 Ralph Fien...,1996,美国 英国,爱情 剧情 战争,8.4,172380人评价,"In memory, love lives forever..."
212,发条橙,A Clockwork Orange,发条桔子  /  发条橙子, Stanley Kubrick, Malcolm McDowell / Patrick Magee / Michael...,1971,英国 美国,犯罪 剧情 科幻,8.4,184190人评价,我完全康复了。
213,美国丽人,American Beauty,美丽有罪(港)  /  美国心·玫瑰情(台), 萨姆·门德斯 Sam Mendes, 凯文·史派西 Kevin Spacey / 安妮特...,1999,美国,剧情 爱情 家庭,8.4,183176人评价,每个人的内心都是深不可测的大海。
214,无耻混蛋,Inglourious Basterds,恶棍特工(台)  /  希魔撞正杀人狂(港), Quentin Tarantino, 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,美国 德国,剧情 犯罪,8.4,220524人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
215,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏, 莫腾·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,8.5,250202人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
216,叫我第一名,Front of the Class,开放有爱  /  站在教室前, 彼得·维纳 Peter Werner, 詹姆斯·沃克 James Wolk / 特里特·...,2008,美国,剧情 传记,8.6,107393人评价,乐观比一切都有力量。
217,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台), 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen??&nb...,2015,美国,喜剧 动画 冒险,8.7,220170人评价,愿我们都不用长大，每一座城堡都能永远存在。,
218,初恋这件小事,???????????????????????...???,初恋那件小事(港)  /  暗恋那点小事, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.3,452121人评价,黑小鸭速效美白记。,
219,穆赫兰道,Mulholland Dr.,穆荷兰大道(台)  /  失忆大道(港), 大卫·林奇 David Lynch, 娜奥米·沃茨 Naomi Watts / 劳拉·哈...,2001,法国 美国,剧情 悬疑 惊悚,8.3,231670人评价,大卫·林奇的梦境迷宫。
